datetime,temperature,wind_speed,humidity,cloud,pressure,visibility,rain
03:09:25 11-12-2023,25.86,2.06,94.0,40.0,1010.0,10000.0,99.86193180084229
04:09:49 11-12-2023,25.86,2.57,94.0,40.0,1010.0,8000.0,99.72057938575745
05:09:50 11-12-2023,24.86,1.03,94.0,40.0,1010.0,8000.0,99.59695339202881
06:02:16 11-12-2023,24.92,2.57,94.0,40.0,1010.0,8000.0,94.80617642402649
07:09:54 11-12-2023,24.86,2.06,94.0,20.0,1011.0,8000.0,19.46650892496109
08:07:49 11-12-2023,26.92,2.57,89.0,100.0,1012.0,9000.0,99.21807050704956
09:09:57 11-12-2023,28.86,3.09,84.0,0.0,1012.0,10000.0,29.232114553451538
10:09:59 11-12-2023,30.86,3.09,74.0,0.0,1012.0,10000.0,11.03791743516922
11:10:02 11-12-2023,31.86,3.6,66.0,20.0,1012.0,10000.0,25.86841583251953
12:10:04 11-12-2023,32.86,2.57,58.0,40.0,1011.0,10000.0,28.07774841785431
13:10:06 11-12-2023,33.86,3.09,49.0,40.0,1010.0,10000.0,0.25518478360027075
14:10:09 11-12-2023,34.86,3.09,43.0,20.0,1009.0,10000.0,0.031308530014939606
15:10:11 11-12-2023,34.86,2.57,43.0,20.0,1008.0,10000.0,0.04491597646847367
