datetime,temperature,wind_speed,humidity,cloud,pressure,visibility,rain,predict
03:44:33 09-12-2023,24.86,0.0,100.0,40.0,1010.0,8000.0,0.0,99.95480179786682
04:45:04 09-12-2023,24.86,1.03,100.0,40.0,1010.0,8000.0,0.0,99.94320273399353
05:45:07 09-12-2023,24.86,0.51,100.0,40.0,1011.0,8000.0,0.0,99.93708729743958
06:45:09 09-12-2023,24.86,0.51,94.0,40.0,1011.0,5000.0,0.0,99.8961091041565
07:37:55 09-12-2023,25.86,0.0,100.0,20.0,1012.0,5000.0,0.0,99.65295195579529
08:40:05 09-12-2023,27.86,0.51,94.0,20.0,1013.0,8000.0,0.0,99.95129108428955
09:45:14 09-12-2023,28.86,1.03,89.0,40.0,1013.0,8000.0,0.0,99.99788999557495
10:45:16 09-12-2023,30.86,1.03,74.0,40.0,1012.0,9000.0,0.0,99.96874332427979
11:36:32 09-12-2023,31.92,1.03,66.0,40.0,1012.0,9000.0,0.0,98.57365489006042
12:40:13 09-12-2023,32.86,0.51,58.0,40.0,1011.0,10000.0,0.0,84.82295870780945
13:45:21 09-12-2023,31.86,2.06,62.0,40.0,1009.0,10000.0,0.0,90.1100754737854
14:45:24 09-12-2023,31.86,2.57,62.0,40.0,1009.0,10000.0,0.0,89.71474170684814
15:38:37 09-12-2023,31.86,2.57,66.0,40.0,1009.0,10000.0,0.0,99.60300326347351
16:45:27 09-12-2023,30.86,3.6,66.0,75.0,1009.0,10000.0,0.0,99.80219602584839
